size,hour
49,202502131032
51,202502131132
49,202502131232
48,202502131332
47,202502131432
47,202502131532
43,202502131726
40,202502131826
37,202502131926
36,202502132026
34,202502132126
32,202502132226
27,202502132326
25,202502140026
25,202502140126
26,202502140226
27,202502140326
29,202502140426
31,202502140526
35,202502140626
40,202502140726
6.5,202502140826
49,202502140926
50,202502141026
49,202502141126
48,202502141226
46,202502141326
46,202502141426
45,202502141526
43,202502141626
40,202502141726
38,202502141826
36,202502141926
9.8,202502142026
32,202502142126
29,202502142226
25,202502142326
22,202502150026
21,202502150126
23,202502150226
24,202502150326
25,202502150426
26,202502150526
28,202502150626
33,202502150726
36,202502150826
6.5,202502150926
43,202502151026
43,202502151126
42,202502151226
42,202502151326
41,202502151426
39,202502151526
38,202502151626
38,202502151726
35,202502151826
34,202502151926
33,202502152026
31,202502152126
29,202502152226
25,202502152326
22,202502160026
21,202502160126
22,202502160226
24,202502160326
24,202502160426
25,202502160526
28,202502160626
31,202502160726
36,202502160826
40,202502160926
43,202502161026
43,202502161126
42,202502161226
42,202502161326
41,202502161426
39,202502161526
38,202502161626
37,202502161726
34,202502161826
32,202502161926
31,202502162026
30,202502162126
28,202502162226
24,202502162326
23,202502170026
22,202502170126
23,202502170226
24,202502170326
25,202502170426
27,202502170526
30,202502170626
35,202502170726
39,202502170826
43,202502170926
45,202502171026
45,202502171126
46,202502171226
44,202502171326
44,202502171426
44,202502171526
43,202502171626
41,202502171726
38,202502171826
35,202502171926
34,202502172026
33,202502172126
30,202502172226
25,202502172326
23,202502180026
23,202502180126
23,202502180226
25,202502180326
26,202502180426
28,202502180526
32,202502180626
37,202502180726
42,202502180826
45,202502180926
46,202502181026
46,202502181126
45,202502181226
44,202502181326
44,202502181426
45,202502181526
45,202502181626
42,202502181726
39,202502181826
37,202502181926
35,202502182026
34,202502182126
30,202502182226
25,202502182326
23,202502190026
23,202502190126
24,202502190226
26,202502190326
27,202502190426
29,202502190526
33,202502190626
38,202502190726
43,202502190826
47,202502190926
48,202502191026
49,202502191126
48,202502191226
47,202502191326
47,202502191426
47,202502191526
46,202502191626
42,202502191726
39,202502191826
37,202502191926
35,202502192026
34,202502192126
30,202502192226
26,202502192326
24,202502200026
24,202502200126
24,202502200226
25,202502200326
26,202502200426
29,202502200526
33,202502200626
38,202502200726
43,202502200826
46,202502200926
48,202502201026
48,202502201126
47,202502201226
46,202502201326
46,202502201426
45,202502201526
44,202502201626
41,202502201726
39,202502201826
38,202502201926
36,202502202026
35,202502202126
31,202502202226
30,202502202326
26,202502210026
24,202502210126
25,202502210226
26,202502210326
27,202502210426
30,202502210526
34,202502210626
39,202502210726
43,202502210826
47,202502210926
48,202502211026
47,202502211126
46,202502211226
45,202502211326
44,202502211426
6.0,202502211526
43,202502211626
40,202502211726
38,202502211826
36,202502211926
34,202502212026
32,202502212126
29,202502212226
25,202502212326
23,202502220026
22,202502220126
23,202502220226
24,202502220326
25,202502220426
26,202502220526
29,202502220626
34,202502220726
39,202502220826
42,202502220926
43,202502221026
44,202502221126
41,202502221226
41,202502221326
39,202502221426
38,202502221526
37,202502221626
37,202502221726
35,202502221826
33,202502221926
32,202502222026
30,202502222126
27,202502222226
25,202502222326
22,202502230026
21,202502230126
22,202502230226
24,202502230326
24,202502230426
25,202502230526
28,202502230626
32,202502230726
36,202502230826
41,202502230926
43,202502231026
44,202502231126
43,202502231226
43,202502231326
41,202502231426
40,202502231526
39,202502231626
38,202502231726
35,202502231826
34,202502231926
32,202502232026
31,202502232126
27,202502232226
25,202502232326
23,202502240026
23,202502240126
23,202502240226
24,202502240326
26,202502240426
28,202502240526
32,202502240626
37,202502240726
41,202502240826
44,202502240926
46,202502241026
46,202502241126
46,202502241226
45,202502241326
44,202502241426
44,202502241526
43,202502241626
40,202502241726
38,202502241826
35,202502241926
34,202502242026
33,202502242126
30,202502242226
26,202502242326
25,202502250026
23,202502250126
24,202502250226
24,202502250326
26,202502250426
28,202502250526
32,202502250626
38,202502250726
42,202502250826
45,202502250926
46,202502251026
46,202502251126
45,202502251226
45,202502251326
45,202502251426
44,202502251526
44,202502251626
41,202502251726
38,202502251826
36,202502251926
35,202502252026
35,202502252126
30,202502252226
25,202502252326
24,202502260026
23,202502260126
24,202502260226
25,202502260326
26,202502260426
28,202502260526
33,202502260626
38,202502260726
42,202502260826
45,202502260926
47,202502261026
47,202502261126
46,202502261226
45,202502261326
44,202502261426
43,202502280816
47,202502280916
49,202502281016
48,202502281116
51,202502281216
59,202502281316
58,202502281416
56,202502281516
54,202502281616
51,202502281716
46,202502281816
41,202502281916
38,202502282016
36,202502282116
33,202502282216
28,202502282316
24,202503010016
14,202503010116
24,202503010216
25,202503010316
26,202503010416
27,202503010516
30,202503010616
34,202503010716
39,202503010816
42,202503010916
44,202503011016
45,202503011116
43,202503011216
43,202503011316
41,202503011416
40,202503011516
39,202503011616
38,202503011716
36,202503011816
34,202503011916
33,202503012016
31,202503012116
29,202503012216
25,202503012316
22,202503020016
21,202503020116
22,202503020216
23,202503020316
25,202503020416
26,202503020516
28,202503020616
32,202503020716
36,202503020816
40,202503020916
42,202503021016
43,202503021116
43,202503021216
43,202503021316
38,202503021416
40,202503021516
39,202503021616
37,202503021716
36,202503021816
35,202503021916
36,202503022016
36,202503022116
36,202503022216
25,202503022316
23,202503030016
22,202503030116
22,202503030216
23,202503030316
24,202503030416
26,202503030516
30,202503030616
35,202503030716
39,202503030816
43,202503030916
45,202503031016
46,202503031116
45,202503031216
45,202503031316
44,202503031416
44,202503031516
43,202503031616
40,202503031716
38,202503031816
37,202503031916
35,202503032016
34,202503032116
31,202503032216
26,202503032316
25,202503040016
24,202503040116
24,202503040216
25,202503040316
26,202503040416
28,202503040516
